STATENAME,Name,MSTREET1,MZIP,city,latitude,longitude
ALABAMA,Tuscumbia City,303 N Commons St E,35674,Tuscumbia,-26.144852,28.0286475
ALABAMA,Wilcox County,75 Camden Bypass,36726,Camden,42.3434996,-71.1426976
ALABAMA,Orange Beach City,23908 Canal Road,36561,Orange Beach,51.8978713,17.7498848821874
ALABAMA,Empower Community School,2400 7th Avenue North,35020,Bessemer,34.10645845358639,-83.59857967147326
ALABAMA,Covenant Academy of Mobile,4568 Halls Mill Road,36693,Mobile,42.3434996,-71.1426976
ALABAMA,Barnabas School of Leadership,280 Headland Ave,36303,Dothan,44.04298865773007,-103.19160622514195
ALABAMA,Hoover City,2810 Metropolitan Way,35243,Hoover,41.07643595,-85.0139574971418
ALABAMA,Madison City,211 Celtic Dr,35758,Madison,30.3743341,-89.08662675230147
ALABAMA,Al Sch Of Math And Science,1255 Dauphin St,36604,Mobile,41.55512432653062,-103.7411295
ALABAMA,Leeds City,1517 Hurst Avenue,35094,Leeds,31.567429,-85.251884
ALABAMA,Boaz City,126 Newt Parker Dr,35957,Boaz,40.15408367207126,-79.87016797117357
ALABAMA,Alexander City,375 Lee Street,35010,Alexander City,34.71276403370395,-86.58506702008299
ALABAMA,Andalusia City,1201 C C Baker Avenue,36421,Andalusia,42.3434996,-71.1426976
ALABAMA,Arab City,750 Arabian Dr NE,35016,Arab,33.786971449999996,-85.7682993
ALABAMA,Athens City,455 US Highway 31 North,35611,Athens,42.3434996,-71.1426976
ALABAMA,Attalla City,101 Case Ave,35954,Attalla,33.4878128,-86.79373243307691
ALABAMA,Saraland City,4010 Lil Spartan Drive,36571,Saraland,-26.144852,28.0286475
ALABAMA,Satsuma City,220 Baker Road,36572,Satsuma,27.753456021827752,-81.800176
ALABAMA,Pelham City,3160 Pelham Parkway,35124,Pelham,51.8978713,17.7498848821874
ALABAMA,Pike Road City,9045 Vaughn Road,36117,Montgomery,32.61389818061893,-85.39050907031996
ALABAMA,MAEF Public Charter Schools,3725 AIRPORT BLVD,36608,MOBILE,42.3434996,-71.1426976
ALABAMA,Legacy Prep,1500 Daniel Payne Drive,35214,Birmingham,32.4073491,-85.6701703959508
ALABAMA,LEAD Academy,2897 Eastern Blvd,36116,Montgomery,-26.144852,28.0286475
ALABAMA,i3 Academy,1 55th Place South,35212,Birmingham,35.88605201944949,-77.49483786593792
ALABAMA,LIFE Academy,2048 West Fairview Avenue,36108,Montgomery,41.6758066969697,-70.14664466666667
ALABAMA,Magic City Acceptance Academy,75 Bagby Drive,35209,Homewood,35.583903987772956,-78.12456593537135
ALABAMA,Alabama School of Cyber Technology and Engineering,229 Wynn Drive,35805,Huntsville,35.217868,-101.703785
ALABAMA,Alabama Aerospace and Aviation,1414 2nd Avenue North,35020,Bessemer,42.37448978318323,-76.86801966790962
ALABAMA,Brewton City,811 Belleville Ave,36426,Brewton,34.00094620347761,-78.98523637866566
ALABAMA,Bullock County,108 Hardaway Avenue,36089,Union Springs,53.3817421,-2.119853001331722
ALABAMA,Calhoun County,4400 McClellan Blvd,36206,Anniston,42.3434996,-71.1426976
ALABAMA,Chilton County,1705 Lay Dam Rd,35045,Clanton,34.671424,-85.68958
ALABAMA,Coffee County,400 Reddoch Hill Rd,36323,Elba,35.103703249999995,-77.07552647674669
ALABAMA,Covington County,807 C C Baker Ave,36421,Andalusia,42.3434996,-71.1426976
ALABAMA,Cullman County,402 Arnold St NE,35055,Cullman,33.53844704,-86.80177972
ALABAMA,Decatur City,212 4th Ave SE,35601,Decatur,-26.144852,28.0286475
ALABAMA,Demopolis City,609 South Cedar Avenue,36732,Demopolis,42.79353979591836,-73.94695044897959
ALABAMA,Dothan City,1665 Honeysuckle Road,36301,DOTHAN,33.254309,-88.168288
ALABAMA,Elba City,131 Tiger Dr,36323,Elba,33.92689548979592,-85.61586848979591
ALABAMA,Elmore County,100 H H Robison Drive,36092,Wetumpka,30.832432,-82.007839
ALABAMA,Enterprise City,220 Hutchinson St,36330,Enterprise,39.2570468,-84.78107542419585
ALABAMA,Etowah County,401 Broad Street,35901,Gadsden,40.07096525,-104.6388947463362
ALABAMA,Eufaula City,333 State Docks Rd,36027,Eufaula,44.3119846,-64.7435284
ALABAMA,Geneva City,511 Panther Dr,36340,Geneva,29.9713851,-90.10046791026411
ALABAMA,Hale County,1115 Powers St,36744,Greensboro,41.765314249999996,-71.3906165
ALABAMA,Haleyville City,2011 20th St,35565,Haleyville,-26.144852,28.0286475
ALABAMA,Hartselle City,305 College St NE,35640,Hartselle,33.65546917461195,-79.30813951480819
ALABAMA,Henry County,300 N Trawick St,36310,Abbeville,43.2957547,-0.3685668
ALABAMA,Homewood City,450 Dale Avenue,35209,Homewood,35.201075714285714,-101.108027
ALABAMA,Huntsville City,714 Bob Wallace Avenue,35801,Huntsville,-26.144852,28.0286475
ALABAMA,Jacksonville City,320 Branscomb Drive SW,36265,Jacksonville,40.415943612244895,-84.62948281632653
ALABAMA,Jefferson County,2100 18th Street S,35209,Birmingham,31.787092209251238,-106.4658807827576
ALABAMA,Lanett City,105 North Lanier Ave,36863,Lanett,40.3052956143035,-110.00769379603956
ALABAMA,Lee County,2410 Society Hill Rd,36804,Opelika,51.8978713,17.7498848821874
ALABAMA,Macon County,303 Union Springs Road,36083,Tuskegee,34.7378856,-87.7013565
ALABAMA,Marion County,188 Winchester Dr,35570,Hamilton,42.3434996,-71.1426976
ALABAMA,Midfield City,417 Parkwood St,35228,Midfield,32.4425256,-81.7711218
ALABAMA,Montgomery County,307 S Decatur St,36104,Montgomery,32.00377208,-87.2896386
ALABAMA,Mountain Brook City,32 Vine St,35213,Mountain Brk,51.8978713,17.7498848821874
ALABAMA,Opelika City,300 Simmons Street,36801,Opelika,-24.1176035,148.09242552066667
ALABAMA,Piedmont City,502 Hood St W,36272,Piedmont,30.2894122,-87.61838860032316
ALABAMA,Pike County,101 W Love St,36081,Troy,33.411102,-86.9539137
ALABAMA,Randolph County,182 Circle Drive,36278,Wedowee,30.615858350082764,-88.14610156728344
ALABAMA,Russellville City,1945 Waterloo Rd,35653,Russellville,31.232696736818994,-85.39213887970062
ALABAMA,Scottsboro City,305 S Scott Street,35768,Scottsboro,32.3780817,-86.0844287
ALABAMA,Selma City,2194 Broad Street,36701,Selma,37.176602,-87.03135
ALABAMA,Sumter County,PO Box 10,35470,Livingston,36.7383981,-85.2088473
ALABAMA,Sylacauga City,43 N Broadway Avenue,35150,Sylacauga,38.913723,-76.830001
ALABAMA,Tallapoosa County,679 East Columbus Street,36853,Dadeville,34.68717962364523,-86.74494875293716
ALABAMA,Tarrant City,1318 Alabama St,35217,Tarrant,42.3434996,-71.1426976
ALABAMA,Thomasville City,750 Gates Drive,36784,Thomasville,31.336132972567672,-85.85302025258909
ALABAMA,Tuscumbia City,303 N Commons St E,35674,Tuscumbia,33.549984337897556,-86.53476038511724
ALABAMA,Wilcox County,75 Camden Bypass,36726,Camden,34.212836,-86.159496
ALABAMA,Orange Beach City,23908 Canal Road,36561,Orange Beach,42.316377700000004,-71.14181974647971
ALABAMA,Empower Community School,2400 7th Avenue North,35020,Bessemer,31.324801,-86.481876
ALABAMA,Covenant Academy of Mobile,4568 Halls Mill Road,36693,Mobile,-26.144852,28.0286475
ALABAMA,Barnabas School of Leadership,280 Headland Ave,36303,Dothan,34.327791864441636,-86.48833279567823
ALABAMA,Hoover City,2810 Metropolitan Way,35243,Hoover,34.80915765,-86.94984944854934
ALABAMA,Madison City,211 Celtic Dr,35758,Madison,34.957912470588234,-81.96513167647059
ALABAMA,Al Sch Of Math And Science,1255 Dauphin St,36604,Mobile,30.862009,-88.1232351
ALABAMA,Leeds City,1517 Hurst Avenue,35094,Leeds,45.6662045,8.7952074
ALABAMA,Boaz City,126 Newt Parker Dr,35957,Boaz,44.28997639865095,-64.43193445161765
ALABAMA,Alexander City,375 Lee Street,35010,Alexander City,38.910374,-86.8001063
ALABAMA,Andalusia City,1201 C C Baker Avenue,36421,Andalusia,33.28680201248322,-86.81030130719455
ALABAMA,Arab City,750 Arabian Dr NE,35016,Arab,36.348103,-94.303091
ALABAMA,Athens City,455 US Highway 31 North,35611,Athens,30.675962,-88.1346819060243
ALABAMA,Attalla City,101 Case Ave,35954,Attalla,-26.144852,28.0286475
ALABAMA,Saraland City,4010 Lil Spartan Drive,36571,Saraland,33.55327,-86.877286
ALABAMA,Satsuma City,220 Baker Road,36572,Satsuma,-26.144852,28.0286475
ALABAMA,Pelham City,3160 Pelham Parkway,35124,Pelham,40.643220390243904,-73.6016782195122
ALABAMA,Pike Road City,9045 Vaughn Road,36117,Montgomery,33.539414,-86.751087
ALABAMA,MAEF Public Charter Schools,3725 AIRPORT BLVD,36608,MOBILE,32.353257,-86.32581810506628
ALABAMA,Legacy Prep,1500 Daniel Payne Drive,35214,Birmingham,-26.144852,28.0286475
ALABAMA,LEAD Academy,2897 Eastern Blvd,36116,Montgomery,33.47104028571429,-86.83113679591837
ALABAMA,i3 Academy,1 55th Place South,35212,Birmingham,32.226096272727276,-82.43975451515152
ALABAMA,LIFE Academy,2048 West Fairview Avenue,36108,Montgomery,44.97913655,-93.29895669999999
ALABAMA,Magic City Acceptance Academy,75 Bagby Drive,35209,Homewood,29.0136914,-82.5252038
ALABAMA,Alabama School of Cyber Technology and Engineering,229 Wynn Drive,35805,Huntsville,-26.144852,28.0286475
ALABAMA,Alabama Aerospace and Aviation,1414 2nd Avenue North,35020,Bessemer,-26.144852,28.0286475
ALABAMA,Brewton City,811 Belleville Ave,36426,Brewton,40.670292849999996,-74.26300481158282
ALABAMA,Bullock County,108 Hardaway Avenue,36089,Union Springs,40.0434073,-75.4619552
ALABAMA,Calhoun County,4400 McClellan Blvd,36206,Anniston,51.8978713,17.7498848821874
ALABAMA,Chilton County,1705 Lay Dam Rd,35045,Clanton,41.6775906,-70.92080217880988
ALABAMA,Coffee County,400 Reddoch Hill Rd,36323,Elba,32.14460908163266,-85.71720499999999
ALABAMA,Covington County,807 C C Baker Ave,36421,Andalusia,18.5091796,73.73846837670753
ALABAMA,Cullman County,402 Arnold St NE,35055,Cullman,33.698547,-85.823867
ALABAMA,Decatur City,212 4th Ave SE,35601,Decatur,32.870330927958186,-86.62202948852901
ALABAMA,Demopolis City,609 South Cedar Avenue,36732,Demopolis,51.4211867,-2.250245659178315
ALABAMA,Dothan City,1665 Honeysuckle Road,36301,DOTHAN,51.8978713,17.7498848821874
ALABAMA,Elba City,131 Tiger Dr,36323,Elba,-34.493016,150.799868
ALABAMA,Elmore County,100 H H Robison Drive,36092,Wetumpka,31.410822,-86.057416
ALABAMA,Enterprise City,220 Hutchinson St,36330,Enterprise,34.4444118,-81.8885645
ALABAMA,Etowah County,401 Broad Street,35901,Gadsden,50.9003321,-1.3931234
ALABAMA,Eufaula City,333 State Docks Rd,36027,Eufaula,38.4421092,-76.7413587
ALABAMA,Geneva City,511 Panther Dr,36340,Geneva,31.324801,-86.481876
ALABAMA,Hale County,1115 Powers St,36744,Greensboro,33.76525715,-84.36929572433587
ALABAMA,Haleyville City,2011 20th St,35565,Haleyville,40.100616,-85.645716
ALABAMA,Hartselle City,305 College St NE,35640,Hartselle,-26.144852,28.0286475
ALABAMA,Henry County,300 N Trawick St,36310,Abbeville,-26.144852,28.0286475
ALABAMA,Homewood City,450 Dale Avenue,35209,Homewood,44.295677844862084,-81.09029671707593
ALABAMA,Huntsville City,714 Bob Wallace Avenue,35801,Huntsville,34.09107618173933,-117.39640930087555
ALABAMA,Jacksonville City,320 Branscomb Drive SW,36265,Jacksonville,31.20518785,-85.43371476027565
ALABAMA,Jefferson County,2100 18th Street S,35209,Birmingham,31.827068730903687,-86.64822565569882
ALABAMA,Lanett City,105 North Lanier Ave,36863,Lanett,32.54947,-86.21789
ALABAMA,Lee County,2410 Society Hill Rd,36804,Opelika,40.27413284629783,-74.5287550066812
ALABAMA,Macon County,303 Union Springs Road,36083,Tuskegee,-26.144852,28.0286475
ALABAMA,Marion County,188 Winchester Dr,35570,Hamilton,42.2177933,-70.94589468706565
ALABAMA,Midfield City,417 Parkwood St,35228,Midfield,32.433857792947556,-84.98004507332747
ALABAMA,Montgomery County,307 S Decatur St,36104,Montgomery,42.3434996,-71.1426976
ALABAMA,Mountain Brook City,32 Vine St,35213,Mountain Brk,-18.0561404,-70.2564905
ALABAMA,Opelika City,300 Simmons Street,36801,Opelika,-26.144852,28.0286475
ALABAMA,Piedmont City,502 Hood St W,36272,Piedmont,42.3434996,-71.1426976
ALABAMA,Pike County,101 W Love St,36081,Troy,51.8978713,17.7498848821874
ALABAMA,Randolph County,182 Circle Drive,36278,Wedowee,34.10645845358639,-83.59857967147326
ALABAMA,Russellville City,1945 Waterloo Rd,35653,Russellville,42.3434996,-71.1426976
ALABAMA,Scottsboro City,305 S Scott Street,35768,Scottsboro,44.04298865773007,-103.19160622514195
ALABAMA,Selma City,2194 Broad Street,36701,Selma,41.07643595,-85.0139574971418
ALABAMA,Sumter County,PO Box 10,35470,Livingston,30.3743341,-89.08662675230147
ALABAMA,Sylacauga City,43 N Broadway Avenue,35150,Sylacauga,41.55512432653062,-103.7411295
ALABAMA,Tallapoosa County,679 East Columbus Street,36853,Dadeville,31.567429,-85.251884
ALABAMA,Tarrant City,1318 Alabama St,35217,Tarrant,40.15408367207126,-79.87016797117357
ALABAMA,Thomasville City,750 Gates Drive,36784,Thomasville,34.71276403370395,-86.58506702008299
ALABAMA,Tuscumbia City,303 N Commons St E,35674,Tuscumbia,42.3434996,-71.1426976
ALABAMA,Wilcox County,75 Camden Bypass,36726,Camden,33.786971449999996,-85.7682993
ALABAMA,Orange Beach City,23908 Canal Road,36561,Orange Beach,42.3434996,-71.1426976
ALABAMA,Empower Community School,2400 7th Avenue North,35020,Bessemer,33.4878128,-86.79373243307691
ALABAMA,Covenant Academy of Mobile,4568 Halls Mill Road,36693,Mobile,-26.144852,28.0286475
ALABAMA,Barnabas School of Leadership,280 Headland Ave,36303,Dothan,27.753456021827752,-81.800176
